"Time (s)","Sound pressure level (dB)"
0.000000000E0,5.375494672E1
0.000000000E0,5.847325513E1
3.110439167E-1,5.988479087E1
4.117187917E-1,6.354688361E1
5.173876667E-1,6.156877714E1
6.190762084E-1,5.741585700E1
7.253143750E-1,5.910683918E1
8.303667083E-1,5.605167631E1
9.327862500E-1,5.747588074E1
1.039304333E0,5.705199260E1
1.144316292E0,5.604195131E1
1.246038083E0,5.764250126E1
1.348644250E0,5.813779577E1
1.451882000E0,5.750944308E1
1.555022375E0,5.819337111E1
1.661566458E0,5.681622807E1
1.763119792E0,5.696206660E1
1.869628625E0,5.761323469E1
1.976115375E0,6.073789036E1
2.080078875E0,5.813943124E1
2.183047625E0,5.822607312E1
2.289507250E0,5.715845340E1
2.395590417E0,5.737569139E1
2.497282292E0,5.799831749E1
2.603800917E0,5.638188371E1
2.710310250E0,5.656076043E1
2.814294542E0,6.015914763E1
2.917724042E0,5.862252455E1
3.024187875E0,6.002266661E1
3.129725250E0,5.762187205E1
3.231460375E0,5.871239016E1
3.338007458E0,5.883373650E1
3.444853625E0,5.880207680E1
3.548427042E0,5.896781658E1
3.651469500E0,5.807170971E1
3.754340375E0,5.818726406E1
3.860751875E0,5.875590733E1
3.965517958E0,5.807960450E1
4.067763250E0,5.859420435E1
4.174147458E0,5.863731566E1
4.279035792E0,5.857291423E1
4.382663375E0,5.652708400E1
4.484987750E0,5.987674303E1
4.591512917E0,5.808626688E1
4.696141250E0,6.009943901E1
4.802534125E0,5.693487327E1
4.905597500E0,5.769564083E1
5.012383250E0,5.762774397E1
5.116936167E0,5.758534586E1
5.219298625E0,5.741809511E1
5.321994958E0,5.609656850E1
5.428602792E0,5.736477301E1
5.534055417E0,5.755233803E1
5.640496625E0,5.816815775E1
5.746101208E0,5.955213060E1
5.849580833E0,5.811732231E1
5.951189125E0,5.870961455E1
6.057600542E0,6.290890879E1
6.164052042E0,5.970944472E1
6.266789833E0,5.832988281E1
6.368515750E0,5.857541501E1
6.472812208E0,6.032413071E1
6.574943708E0,6.375694373E1
6.681488583E0,5.849830830E1
6.786225042E0,5.989700453E1
6.892027417E0,5.853265437E1
6.998418667E0,5.798079199E1
7.101026292E0,5.725874263E1
7.202746542E0,5.658211866E1
7.309260750E0,5.677672253E1
7.412329542E0,5.886605395E1
7.518190583E0,6.106794026E1
7.620621458E0,5.910497854E1
7.726013208E0,5.529396470E1
7.832792250E0,5.744229518E1
7.935313125E0,5.740658839E1
8.040005000E0,5.645607582E1
8.143148083E0,5.575741648E1
8.249633375E0,5.731787098E1
8.353484042E0,5.923448860E1
8.460216250E0,5.962264320E1
8.566751250E0,5.963104436E1
8.669481750E0,5.926567603E1
8.771354833E0,5.631615189E1
8.877000917E0,5.681575169E1
8.979655458E0,5.637383748E1
9.084672125E0,5.462733888E1
9.186718542E0,5.759502507E1
9.288377833E0,5.685085675E1
9.392814833E0,5.608390672E1
9.499389333E0,5.381502989E1
9.605403250E0,5.635179707E1
9.709733750E0,5.738131046E1
9.816275333E0,5.791515096E1
9.920818792E0,6.027564876E1
1.002685679E1,5.712096383E1
1.013331413E1,5.633119552E1
1.023581204E1,5.540593719E1
1.033791438E1,5.631901369E1
1.043959629E1,5.602651855E1
1.054431267E1,5.682355371E1
1.065107313E1,5.784122089E1
1.075311254E1,5.871842930E1
1.085520079E1,5.690040089E1
1.095680613E1,5.744333425E1
1.105898763E1,5.878111713E1
1.116184829E1,5.961810122E1
1.126840467E1,5.571777494E1
1.137244358E1,5.872321187E1
1.147911042E1,5.934848212E1
1.158563329E1,5.947849954E1
1.168741463E1,5.683946769E1
1.178952163E1,5.759910198E1
1.189575242E1,5.896288292E1
1.199857729E1,5.987387020E1
1.210451258E1,5.861669171E1
1.220674575E1,6.005222586E1
1.231250371E1,5.656436439E1
1.241831983E1,5.810267689E1
1.252182975E1,5.899737275E1
1.262618213E1,5.744851012E1
1.272847658E1,5.725329580E1
1.283091325E1,5.739860533E1
1.293743079E1,5.810941315E1
1.303904871E1,5.853328973E1
1.314108713E1,5.624302147E1
1.324531379E1,5.836881880E1
1.335179733E1,5.629299831E1
1.345618321E1,5.676142750E1
1.356250546E1,5.641338434E1
1.366476883E1,5.933990116E1
1.377136879E1,5.999525064E1
1.387329263E1,6.097325776E1
1.397901413E1,5.961170471E1
1.408257713E1,5.796683351E1
1.418907346E1,5.741555986E1
1.429237596E1,6.059174606E1
1.439533021E1,5.967395665E1
1.450181975E1,5.818392697E1
1.460734700E1,5.596485565E1
1.471245354E1,5.771718920E1
1.481774608E1,5.873806285E1
1.492425125E1,5.879392870E1
1.502909979E1,5.795233363E1
1.513556650E1,5.921714722E1
1.524166063E1,5.903339246E1
1.534359933E1,6.110108028E1
1.544548858E1,5.644752432E1
1.555201900E1,5.872855791E1
1.565849350E1,5.950386412E1
1.576075925E1,5.791697629E1
1.586629317E1,5.869697903E1
1.597287629E1,6.054010297E1
1.607593771E1,5.754639861E1
1.617796338E1,5.942766193E1
1.627970475E1,5.768547227E1
1.638621833E1,5.887418055E1
1.649262229E1,6.045655189E1
1.659510783E1,5.832570288E1
1.669682183E1,6.064668910E1
1.680323988E1,5.931471140E1
1.690968175E1,5.819931799E1
1.701579250E1,5.683321852E1
1.711778425E1,5.745626360E1
1.722429938E1,5.626129077E1
1.732743521E1,5.757449749E1
1.742949054E1,5.961071385E1
1.753115679E1,5.800598424E1
1.763758967E1,5.659579066E1
1.774403729E1,5.845023554E1
1.784668058E1,5.743018280E1
1.794836238E1,5.600765580E1
1.805049788E1,6.022850897E1
1.815700383E1,5.860914540E1
1.826197633E1,5.921525777E1
1.836400763E1,5.779188730E1
1.846564892E1,5.802737507E1
1.857047904E1,5.749121349E1
1.867640404E1,5.673057785E1
1.877923388E1,5.723517976E1
1.888124479E1,5.833051044E1
1.898295996E1,5.870360990E1
1.908767738E1,5.766416196E1
1.919418625E1,5.897669529E1
1.929645758E1,6.007821232E1
1.939850904E1,5.842329243E1
1.950021654E1,5.718501169E1
1.960502613E1,5.571692528E1
