"Time (s)","Sound pressure level (dB)"
0.000000000E0,5.231487825E1
0.000000000E0,5.491639347E1
2.766320833E-1,5.616634807E1
3.789372500E-1,5.408512438E1
4.848280416E-1,5.475196524E1
5.910767916E-1,5.399112045E1
6.937300417E-1,5.544710216E1
7.959599583E-1,5.423915500E1
9.027427917E-1,5.582101340E1
1.009115583E0,5.455278157E1
1.115983958E0,5.663749712E1
1.222521917E0,5.640230020E1
1.328124167E0,5.756374873E1
1.434716833E0,5.604599070E1
1.541231042E0,5.634608741E1
1.647504292E0,5.797963006E1
1.752284833E0,5.672806221E1
1.853620375E0,5.633540128E1
1.958454583E0,5.602949560E1
2.062126167E0,5.731717052E1
2.168598083E0,5.665487990E1
2.275086833E0,5.599998181E1
2.379149917E0,5.525001884E1
2.485697417E0,5.643952690E1
2.592161542E0,5.702297500E1
2.696259958E0,5.793103168E1
2.802792125E0,5.644093333E1
2.909371458E0,5.692953229E1
3.013328292E0,5.544197526E1
3.115756500E0,5.595604795E1
3.222263125E0,5.613620807E1
3.326944458E0,5.780159140E1
3.430525292E0,5.565176597E1
3.535337625E0,5.903454296E1
3.641832625E0,5.627091170E1
3.747678708E0,5.820469490E1
3.854410667E0,5.524188723E1
3.960285375E0,5.652845449E1
4.064807792E0,5.696494946E1
4.171423125E0,5.629067327E1
4.277407708E0,5.767292361E1
4.381881292E0,5.848416953E1
4.488585375E0,5.765870205E1
4.593908417E0,5.802722527E1
4.698973542E0,5.726284179E1
4.805609125E0,5.560241636E1
4.910491875E0,5.697581345E1
5.016050375E0,5.677601850E1
5.122676167E0,5.685952946E1
5.227413083E0,5.533834722E1
5.333153000E0,5.600361600E1
5.439641792E0,5.793808469E1
5.544024375E0,5.780505488E1
5.650218125E0,5.730419266E1
5.756846875E0,5.714563209E1
5.860715500E0,5.506638733E1
5.965719000E0,5.730919384E1
6.067407458E0,5.549053394E1
6.173914167E0,5.564795642E1
6.277365792E0,5.519883170E1
6.381015708E0,5.386818121E1
6.487078792E0,5.521111553E1
6.594088875E0,5.475698980E1
6.698110167E0,5.474413803E1
6.801741250E0,5.537242710E1
6.908427792E0,5.383921889E1
7.010477792E0,5.543411242E1
7.116208333E0,5.582972587E1
7.218988500E0,5.663848172E1
7.325454208E0,5.985217573E1
7.427313667E0,5.691350715E1
7.533581458E0,5.339060701E1
7.636233292E0,5.505080372E1
7.742766750E0,5.747085444E1
7.849252250E0,5.645312033E1
7.951648542E0,5.734913938E1
8.053395375E0,5.577954539E1
8.155640583E0,5.613381883E1
8.260665042E0,5.543637422E1
8.367028625E0,5.697040483E1
8.469085125E0,5.522596050E1
8.570791375E0,5.550247844E1
8.674009167E0,5.647363559E1
8.777319458E0,5.608071922E1
8.883946792E0,5.665977534E1
8.986381333E0,5.764644770E1
9.088147708E0,5.813801977E1
9.193986708E0,5.824956327E1
9.300911250E0,5.786662294E1
9.405995500E0,5.508766855E1
9.510454792E0,5.661191050E1
9.617128708E0,5.490797434E1
9.720629167E0,5.594237010E1
9.827117958E0,5.439794277E1
9.933832083E0,5.708495128E1
1.003781108E1,5.713899496E1
1.014363650E1,5.544559268E1
1.025033379E1,5.584783272E1
1.035507588E1,5.722843404E1
1.046024588E1,5.688904284E1
