"Time (s)","Sound pressure level (dB)"
0.000000000,59.500000000
0.102422998,58.151250915
0.204453781,56.817216458
0.309756991,57.415072779
0.413563700,56.325240412
0.518323492,60.702835712
0.623467270,61.729233550
0.729523836,61.794238030
0.834383429,63.255380729
0.937897427,60.265216649
1.040691268,57.451468696
1.143609585,59.117815808
1.245864875,59.881085715
1.351251448,58.107826659
1.455929578,59.795231831
1.559367015,62.370954733
1.662330069,59.948847613
1.767320361,60.084583410
1.872120177,60.429141890
1.974553423,60.863335485
2.079111576,62.074041300
2.182110049,61.875711051
2.284774792,63.277225952
2.389433988,59.889630698
2.495182902,58.821400371
2.600140672,60.677175749
2.703622267,59.270091503
2.806502609,58.349302048
2.911620611,58.840492949
3.015539389,59.821908741
3.122616603,58.740251767
3.226729136,60.217464274
3.328744007,62.425744617
3.432789196,57.661556626
3.537082840,54.350294382
3.639724887,58.318109500
3.742528444,57.435848887
3.848256833,61.162151062
3.952102692,65.639501829
4.055544655,62.307502956
4.159572700,60.194077601
4.261441094,59.834170808
4.365177245,61.587339969
4.469169761,62.558764359
4.573845142,60.756726025
4.677925193,62.050917036
4.782510023,58.095764955
4.888149723,60.489507874
4.991966498,61.060846907
5.095602447,63.504364464
5.198414084,62.538232606
5.301936485,62.587126200
5.407186408,59.904670186
5.510930698,60.583799892
5.614758137,61.989471058
5.718785962,63.099424904
5.823206870,61.944671018
5.926833818,64.043680226
6.029961672,64.486093277
6.133173503,61.110608227
6.235980141,56.035744866
6.340622798,56.007354429
6.445278425,58.126628833
6.548775207,59.333145640
6.651646385,59.079105705
6.756518935,58.700060705
6.859056151,60.472441941
6.962378099,59.054494138
7.065184915,55.484504563
7.166666619,57.048569436
7.271693649,60.276803615
7.376261402,58.423087300
7.479393301,60.244237928
7.581077191,61.027013827
7.685795627,60.316181971
7.791555582,60.740002442
7.895772575,58.491618036
7.999715487,59.170387851
8.103592325,62.168212134
8.208118917,60.745879264
8.313676154,58.131610195
8.417283997,61.567600101
8.522327463,58.055181997
8.624860803,61.870552462
8.729110215,60.894730548
8.832494109,61.371251024
8.938661878,65.339884274
9.043059364,68.815720274
9.146644377,74.619746804
9.249769894,78.022601129
9.353706088,80.779217934
9.457342492,86.151807718
9.559212750,83.704551732
9.664212557,82.624942115
9.768467699,77.780680611
9.873405276,77.663809564
9.981188493,77.996704700
10.085975209,77.189350397
10.190576442,74.600182435
10.294929746,67.914168142
10.399423566,68.092667465
10.501538665,70.892751099
10.604967591,68.306633891
10.708519636,68.739739188
10.811709100,66.344415591
10.915749790,68.953868873
11.019789124,63.131571353
11.123046823,62.874753386
11.226924253,62.747840342
11.332453054,64.104849553
11.435837042,63.692241033
11.539427062,63.538408445
11.643146949,58.767276488
11.746334573,64.137564437
11.850842323,63.380132505
11.953733784,61.340524651
12.057923833,63.949495543
12.163153585,60.528076195
12.266317082,61.442660743
12.369865205,63.032417478
12.474722243,63.339341246
12.579279267,62.456153918
12.682534653,61.343288343
12.786323090,59.037738433
12.890242995,60.326593917
12.992715499,57.898565720
13.095687707,61.009588292
13.199938450,62.169203879
13.303946507,61.158765561
13.408252870,57.055327167
13.513964155,59.726514836
13.619280204,60.611960195
13.724154173,58.103005174
13.827740300,58.087244893
13.931239713,59.121904499
14.034712713,60.667396523
14.140042760,59.453226058
14.241890034,58.000209005
14.346045989,57.847866439
14.449610509,56.921948444
14.553527455,61.526750332
14.658207710,63.943889430
14.762726602,57.984181094
14.865927469,58.050382383
14.968981042,61.691863097
15.072112336,63.213693479
15.176281114,65.015889611
15.279972721,64.608223914
15.385211813,62.938413956
15.490722526,61.813493512
15.594505126,63.260228356
15.697604488,62.239678562
15.801931194,57.863136573
15.906234206,58.990546993
16.010044808,55.991289054
16.112639329,59.296516203
16.217317477,60.046267152
16.322810288,59.549275470
16.427614247,60.057463940
16.533336278,56.621586343
16.636417546,57.141765953
16.740665705,57.242309536
16.845443675,58.570853900
16.948626278,58.665284076
17.050517663,59.429205254
17.153615404,59.897871671
17.257879522,57.149104500
17.361791485,56.066198135
17.466295894,59.877916472
17.570008386,58.135376568
17.674999005,58.517363595
17.778371752,60.498085340
17.880700593,59.393515134
17.985133611,63.465423851
18.089313494,59.793840294
18.193304811,58.524349904
18.297966581,55.282895017
18.401197500,58.950965773
18.502487711,58.511689910
18.605014922,60.147119901
18.706910229,60.777097324
18.809935301,64.654890835
18.914992504,63.105412925
19.020255985,60.546709247
19.125842445,59.186742436
19.228632889,60.821414271
19.331200610,56.646030564
19.435728610,57.150225107
19.537885208,55.488521557
19.641807401,55.711706843
19.746215787,59.825724252
19.851693195,57.981679611
19.955634698,57.908499074
20.059530955,60.256399959
20.163303417,57.032230363
20.266426018,58.482909708
20.370960384,56.774425710
20.474551769,58.506682786
20.579853020,58.170811653
20.684166794,60.704924288
20.787027332,59.950166418
20.889393302,60.596183108
20.994044163,62.719122667
21.098899796,60.973107585
21.203878799,62.719112455
21.307227390,62.442549850
21.411412999,62.697035646
21.515902743,59.781846528
21.619789361,60.054548453
21.725098401,60.074716090
21.829214132,61.185604562
21.932375484,62.452239931
22.037874064,62.874257023
22.141847741,62.381517946
22.246125722,59.991840100
22.350045283,58.912660163
22.452846330,60.169024648
22.556608324,57.751056150
22.660562524,58.041179952
22.763365082,58.616382880
22.865726815,59.947337760
22.969358249,60.819713885
23.074183867,58.052978970
23.178451966,60.029144388
23.284117255,56.286415063
23.387616080,56.739052712
23.492440978,59.849635210
23.597075780,59.153330801
23.700687805,60.140180745
23.805627120,64.467192071
23.908249315,61.617815089
24.011840167,60.240613961
24.114710403,56.029250936
24.218337751,58.406330310
24.323907220,61.608059791
24.429293341,60.950097827
24.534038333,60.402953295
24.638078932,65.455257477
24.741043286,62.808347066
24.845453146,61.480718806
24.950819116,60.721978053
25.053955728,58.265454857
25.156529831,60.312843273
25.260878319,62.324509137
25.362859003,62.963427671
25.467986229,62.824300803
25.571255730,59.827016808
25.675043666,58.826290006
25.777526980,64.409800494
25.879104501,59.701857192
25.982762707,57.065293397
26.085696333,58.237680084
26.189799623,56.113960204
26.293758109,55.545460375
26.398022280,54.823030163
26.501793915,55.003250678
26.608056268,56.859971633
26.712825445,59.532149114
26.816141854,59.764221459
26.920165275,61.051420713
27.023580083,59.531069530
27.127900207,54.562836749
27.233538971,55.574256174
27.338336256,54.318545801
27.442465895,57.314142197
27.545533618,59.340406625
27.649637713,58.265885225
27.751293063,58.572822038
27.855029020,60.128386736
27.958758220,61.959357001
28.062002129,59.309832231
28.165285055,61.072273147
28.271100313,59.325371256
28.376340433,60.982982098
28.480348822,55.272580770
28.584367878,56.551645308
28.690778814,58.649669309
28.794742708,56.689874441
28.900037872,53.355672187
29.003815303,54.121700188
29.107650611,56.236088834
29.213219624,58.602755375
29.317412272,60.112292864
29.420755257,59.696257119
29.525450764,56.710081616
29.629239391,55.990183493
29.733337113,58.613259537
29.836671656,60.695647308
29.940496598,60.239973272
30.045395823,63.396488277
30.149599135,60.254100528
30.253966016,59.793962443
30.358292425,59.970490207
30.461965272,59.281117286
30.565032327,56.871872292
30.669034668,55.619632799
30.772626232,57.597290447
30.876085610,59.307572872
30.980164094,62.723780202
31.084115709,61.200922736
31.187034618,55.208779024
31.289613517,54.707075129
31.393544600,54.003153816
31.497608227,54.972184429
31.600938162,58.108005200
31.705214161,59.345468706
31.807780698,59.958836209
31.910127088,57.057772179
32.013927199,57.570523467
32.118441934,58.449069755
32.223090673,62.827372215
32.327559800,63.622622647
32.430987098,61.208335002
32.535568643,61.975024968
32.638667407,60.970345247
32.742801398,59.682645133
32.847940134,58.942880714
32.951276199,55.939411212
33.055599283,60.615330030
33.158711399,60.296069629
33.264325133,57.695945569
33.366934307,57.747780701
33.468987390,57.535160226
33.572962845,58.184571828
33.677439303,57.920937859
33.781428807,61.720770942
33.886128577,57.449731195
33.990151541,60.408333542
34.095188853,59.698372312
34.199836373,61.382560313
34.303115780,59.457008145
34.405559970,57.649218178
34.509722466,58.932665427
34.613364529,63.154072414
34.718658945,59.059413750
34.824391584,60.645667192
34.928875228,62.738424191
35.032629739,62.056395305
35.138911977,60.590402488
35.243955463,63.860895935
35.346497120,61.816101847
35.450259928,62.205973504
35.552983137,61.336490263
35.659048926,61.482831213
35.763138841,59.609676160
35.867344778,58.216493255
35.970210920,61.214477922
36.074727540,60.507615064
36.176434210,61.124816217
36.280051682,58.257312529
36.385070188,60.687125201
36.487952745,62.625711214
36.592402724,61.429085057
36.697504919,57.555335709
36.800663348,60.023158540
36.903066504,56.765196152
37.007135411,59.258051675
37.111995782,60.989679523
37.215825386,57.905786293
37.318193488,57.433945161
37.422662008,55.896156339
37.524596540,56.076944708
37.628810248,55.126099135
37.733871604,54.157755997
37.838268296,53.567926887
37.941096923,57.754661891
38.046913981,58.964853103
38.151574241,61.261079205
38.255956274,59.738132474
38.361412198,62.156634847
38.464960230,58.439054721
38.568626034,58.775436830
38.673658801,58.600172874
38.777414001,56.850317569
38.879412482,56.447255053
38.982802982,55.492470306
39.087565527,57.490727063
39.191358959,57.034465880
39.294254762,58.923550131
39.399387090,59.723349797
39.503591720,59.161194608
39.608505530,57.900817992
39.713789441,57.991328045
39.818925036,60.132906094
39.922564134,60.114788424
40.024574773,59.047900059
40.128539530,58.689375476
40.232733380,62.364137216
40.336838445,60.175345271
40.441528542,59.343712815
40.545280343,60.615356956
40.650148703,59.205291124
40.754552338,56.726158742
40.856887794,56.610984172
40.960713295,57.285416983
41.065032917,58.248434475
41.168790935,58.401680902
41.271182976,57.125646258
41.372777388,58.432085437
41.476761256,60.200405465
41.583000564,57.463717005
41.686690247,62.406679723
41.791392571,58.955985197
41.895816858,62.144879163
41.997849529,63.406290147
42.102137156,63.758332582
42.207661089,63.432588037
42.311998230,59.382812318
42.416877218,58.250354625
42.520238552,60.063524024
42.625258359,58.097220313
42.729356371,60.235417559
42.834335079,57.905376306
42.937008482,56.453518279
43.041564639,58.177898229
43.147463523,57.934196956
43.250127648,59.416301333
43.353576907,58.401479200
43.457984761,56.042693616
43.561870055,58.638701210
43.666943309,56.781946327
43.770334787,57.454619469
43.874208191,60.742777649
43.979407048,62.902166300
44.084179007,67.675744617
44.187318155,74.132257076
44.292011908,74.319563288
44.397672934,74.495373429
44.501121070,74.828289297
44.604837738,71.423058131
